,Marca,Valor
0,Multilaser F Dual SIM 32 GB café 1 GB RAM,"R$449,89"
1, iPhone 7 128 GB dourado,R$1.519
2,Obabox ObaSmart 3 Dual SIM 32 GB ouro 1 GB RAM,"R$947,50"
3,Samsung Galaxy A01 Core Dual SIM 32 GB preto 2 GB RAM,R$683
4,Xiaomi Redmi Note 10 Pro Max Dual SIM 128 GB dark night 6 GB RAM,R$2.009
5,Samsung Galaxy S21+ 5G Dual SIM 128 GB preto 8 GB RAM,R$6.999
6,Xiaomi Pocophone Poco M3 Dual SIM 64 GB power black 4 GB RAM,R$1.190
7,Samsung Galaxy S20+ Dual SIM 128 GB cosmic black 8 GB RAM,R$3.648
8,Xiaomi Pocophone Poco X3 NFC 128 GB  cobalt blue 8 GB RAM,R$1.879
9,Xiaomi Redmi 9T Dual SIM 128 GB verde 4 GB RAM,R$1.491
10, Moto E6i 32 GB cinza-titanium 2 GB RAM,R$762
11, Moto E7 Dual SIM 32 GB cinza-metálico 2 GB RAM,R$767
12,Xiaomi Redmi Note 9 Dual SIM 128 GB cinza-meia-noite 4 GB RAM,R$1.464
13,Xiaomi Pocophone Poco X3 Pro Dual SIM 128 GB frost blue 6 GB RAM,R$1.718
14,Xiaomi Redmi Note 8 Dual SIM 64 GB space black 4 GB RAM,R$1.249
15,Xiaomi Redmi Note 10S Dual SIM 128 GB cinza 6 GB RAM,R$1.710
16, Moto G60 Dual SIM 128 GB azul 6 GB RAM,R$2.699
17,Samsung Galaxy S20 Ultra Dual SIM 128 GB cosmic gray 12 GB RAM,R$5.899
18, Moto E6s (2020) Dual SIM 64 GB vermelho-magenta 4 GB RAM,R$958
19, Moto E6s (2020) Dual SIM 32 GB cinza-titanium 2 GB RAM,R$696
20,LG K71 Dual SIM 128 GB white 4 GB RAM,"R$1.813,44"
21,Multilaser E Lite Dual SIM 32 GB preto 512 MB RAM,R$369
22,Xiaomi Redmi Note 9S Dual SIM 128 GB azul 4 GB RAM,R$1.709
23,Xiaomi Redmi 9 (Global) Dual SIM 32 GB carbon grey 3 GB RAM,R$1.046
24,Positivo Flip P50 Dual SIM 32 MB preto 32 MB RAM,"R$152,22"
25, Moto G100 Dual SIM 256 GB luminous sky 12 GB RAM,R$3.999
26,Samsung Galaxy Note20 5G Dual SIM 256 GB bronze místico 8 GB RAM,R$3.469
27,Samsung Galaxy Note20 Dual SIM 256 GB cinza-místico 8 GB RAM,R$5.310
28,Multilaser Flip Vita Dual SIM 32 MB dourado 32 MB RAM,R$166
29,LG K22+ Dual SIM 64 GB blue 3 GB RAM,R$813
30,Xiaomi Pocophone Poco M3 Pro 5G Dual SIM 128 GB poco yellow 6 GB RAM,R$1.799
31,Xiaomi Redmi 9i Dual SIM 64 GB sea blue 4 GB RAM,R$993
32,LG B220 Dual SIM 32 MB preto 32 MB RAM,"R$113,97"
33,Smartphone Galaxy M62 128gb 8gb Ram Preto Samsung,R$3.499
34,Apple iPhone 12 mini (128 GB) - Preto,R$4.990
35,Smartphone Galaxy A03s Tela 6.5 64 Gb 4 Gb Ram Preto Samsung,R$1.499
36, iPhone 8 256 GB cinza-espacial,R$2.459
37,CAT B26 Dual SIM 8 MB preto 8 MB RAM,R$353
38,Apple iPhone SE (2a geração) 256 GB - Preto,R$5.199
39,Apple iPhone 12 mini (64 GB) - Preto,R$6.499
40,Smartphone Galaxy M62 128gb 8gb Ram Azul Samsung,R$3.499
41,Multilaser E Lite Dual SIM 16 GB preto 512 MB RAM,"R$377,24"
42,Xiaomi Redmi Note 8 2021 Dual SIM 128 GB space black 4 GB RAM,R$1.432
43,"Smartphone K22 Tela 6,2'' 32gb 2gb Ram Azul LG ",R$999
44,Multilaser G Pro Dual SIM 32 GB preto 2 GB RAM,"R$725,90"
45,DL YC-330 Dual SIM 32 MB branco 32 MB RAM,R$115
46,"Smartphone Motorola Moto E7 6,5'' 32gb 2gb Ram Aquamarine",R$1.199
47,Xiaomi Redmi 9 (Global) Dual SIM 64 GB sunset purple 4 GB RAM,R$1.207
48,CAT S52 Dual SIM 64 GB preto 4 GB RAM,R$1.950
49,Xiaomi Redmi Note 9 Pro (64 Mpx) Dual SIM 128 GB cinza-interestelar 6 GB RAM,R$1.874
50,Apple iPhone 12 Pro Max (512 GB) - Grafite,R$11.697
51,Samsung Galaxy A10s Dual SIM 32 GB vermelho 2 GB RAM,R$1.499
52,Smartphone Samsung Galaxy M32 Tela 6.4 128 Gb 6 Gb Ram Preto,R$2.399
53,CAT S42 Dual SIM 32 GB preto 3 GB RAM,R$1.620
54,LG K11+ 32 GB preto 2 GB RAM,"R$697,90"
55,Smartphone G30 6.5'' 128gb 4gb Ram Dark Prism Motorola,R$1.899
56,Smartphone Moto G10 6.5'' 64gb 4gb Ram Brco Floral Motorola,R$1.599
57,Xiaomi Poco F3 5G Dual SIM 256 GB azul 8 GB RAM,R$2.859
58,Multilaser G Dual SIM 32 GB preto 1 GB RAM,R$471
59,Apple iPhone 12 Pro Max (256 GB) - Azul-pacífico,R$9.499
60,Asus ZenFone Live L2 ZA550KL (Snapdragon 435) Dual SIM 32 GB vermelho-foguete 2 GB RAM,R$999
61,Xiaomi Redmi Note 8 Dual SIM 128 GB space black 4 GB RAM,R$1.599
62,Xiaomi Redmi Note 10 5G Dual SIM 128 GB nighttime blue 6 GB RAM,R$1.799
63,Xiaomi Pocophone Poco X3 Dual SIM 64 GB out of the blue 6 GB RAM,R$1.628
64,Celular Samsung Galaxy A32 6.4  Dual 128gb 4gb Ram Preto,R$1.388
65,Apple iPhone 12 mini (256 GB) - Branco,R$8.499
66,"Smartphone K41s Titânio 4g Tela 6,55 32gb 3gb Ram LG",R$1.299
67,Xiaomi Redmi Note 10 128gb 6gb Ram Global Verde Nf,R$1.766
68,Smartphone Motorola Moto E7 Tela 6.5 64gb 4gb Ram Cinza,R$924
69,Smartphone Moto G10 6.5'' 64gb 4gb Ram Cinza Aurora Motorola,R$1.699
70,Smartphone Samsung Galaxy A10s Tl 6.2 32gb 2gb Ram Vermelho,R$1.399
71,Smartphone Motorola E7 Power 32gb Camera Dupla Azul Metalico,R$1.049
72,Xiaomi Redmi Note 8 Pro Dual SIM 128 GB pearl white 6 GB RAM,R$1.900
73,"Smartphone K52 4g Tela 6,59 64 Gb 3gb Ram Cinza LG ",R$1.499
74,Xiaomi Redmi Note 10S Dual SIM 64 GB branco 6 GB RAM,R$1.600
75,Poco X3 Pro 128gb 6gb Ram  Phantom Black Global C/nf Originl,R$1.929
76,Smartphone Motorola G20 Tela 6.5 64gb 4gb Ram Azul,R$1.699
77,Infinity W201 Dual SIM 32 MB preto/vermelho 32 MB RAM,R$99
78,"Smartphone K41s 4g Tela 6,55 32gb Preto 3gb Ram LG",R$1.299
79,Xiaomi Redmi Note 10 Pro (Global) Dual SIM 128 GB bronze 6 GB RAM,R$2.238
80,Celular Samsung Galaxy A32 6.4  Dual 128gb 4gb Ram Branco,R$1.394
81,Xiaomi Redmi 9i Dual SIM 128 GB nature green 4 GB RAM,R$1.279
82,Samsung Galaxy A02s Dual SIM 32 GB preto 3 GB RAM,R$888
83,Celular Samsung Galaxy A32 6.4  Dual 128gb 4gb Ram Violeta,R$1.495
84,Philco Hit Max PCS02 Dual SIM 128 GB cinza-espacial 4 GB RAM,"R$964,90"
